Date,Open,High,Low,Close,Volume,Adj Close
2008-09-19,2303.90,2318.43,2239.73,2273.90,3898230000,2273.90
2008-09-18,2137.42,2201.71,2070.22,2199.10,3867290000,2199.10
2008-09-17,2177.58,2183.25,2098.85,2098.85,3102010000,2098.85
2008-09-16,2149.65,2214.29,2145.17,2207.90,3187630000,2207.90
2008-09-15,2202.28,2244.88,2179.91,2179.91,2697820000,2179.91
2008-09-12,2239.25,2268.83,2228.00,2261.27,1973590000,2261.27
2008-09-11,2199.03,2259.25,2191.53,2258.22,2269670000,2258.22
2008-09-10,2232.21,2247.63,2209.59,2228.70,2250360000,2228.70
2008-09-09,2269.93,2285.54,2209.81,2209.81,2590590000,2209.81
2008-09-08,2296.18,2303.89,2236.97,2269.76,2566300000,2269.76
2008-09-05,2241.62,2264.35,2216.99,2255.88,2261030000,2255.88
2008-09-04,2315.18,2317.32,2259.04,2259.04,2332320000,2259.04
2008-09-03,2346.81,2357.43,2320.91,2333.73,2062140000,2333.73
2008-09-02,2402.11,2413.11,2338.37,2349.24,2010580000,2349.24
2008-08-29,2388.67,2393.49,2360.91,2367.52,1559030000,2367.52
2008-08-28,2390.11,2412.84,2388.55,2411.64,1582680000,2411.64
2008-08-27,2362.86,2395.02,2358.93,2382.46,1540700000,2382.46
2008-08-26,2364.31,2377.04,2345.79,2361.97,1256980000,2361.97
2008-08-25,2399.73,2399.73,2362.20,2365.59,2366920000,2365.59
2008-08-22,2390.34,2417.63,2390.34,2414.71,1365910000,2414.71
2008-08-21,2371.54,2387.72,2360.39,2380.38,1562430000,2380.38
2008-08-20,2396.58,2408.68,2372.34,2389.08,1746470000,2389.08
2008-08-19,2404.95,2410.96,2376.67,2384.36,1716280000,2384.36
2008-08-18,2456.96,2456.96,2404.41,2416.98,1632610000,2416.98
2008-08-15,2463.10,2473.20,2441.05,2452.52,1742180000,2452.52
2008-08-14,2414.41,2461.15,2414.41,2453.67,1835830000,2453.67
2008-08-13,2424.32,2443.44,2404.03,2428.62,1995490000,2428.62
2008-08-12,2434.26,2447.16,2421.09,2430.61,2052610000,2430.61
2008-08-11,2407.55,2461.65,2402.53,2439.95,2272240000,2439.95
2008-08-08,2356.84,2416.40,2352.04,2414.10,2189630000,2414.10
2008-08-07,2362.79,2386.44,2351.32,2355.73,2189120000,2355.73
2008-08-06,2349.17,2385.77,2333.53,2378.37,2228710000,2378.37
2008-08-05,2308.14,2349.83,2303.63,2349.83,2324730000,2349.83
2008-08-04,2309.75,2309.75,2280.93,2285.56,2010200000,2285.56
2008-08-01,2326.83,2328.95,2286.41,2310.96,2312140000,2310.96
2008-07-31,2311.33,2353.39,2309.64,2325.55,2316510000,2325.55
